first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,hand,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Matt,Chapman,3B,,2023-05-19,,TOR,BAL,5,,R,-1.5,9.5,5.2,4700,0.0,4.4,8.0,7.0,1.49
Michael,Chavis,2B,,2023-05-19,,WAS,DET,8,,R,+1.5,9,4.5,2000,0.0,2.0,5.0,6.9,3.45
Michael,Conforto,OF,,2023-05-19,,SF,MIA,3,,L,-1.5,7.5,3.9,3300,0.0,10.6,23.0,6.9,2.09
Ezequiel,Tovar,SS,,2023-05-19,,COL,TEX,8,,R,+1.5,9,3.7,3200,0.0,4.8,14.0,6.9,2.16
Joey,Ortiz,2B,,2023-05-19,,BAL,TOR,8,,R,+1.5,9.5,4.4,2800,0.0,1.6,8.0,6.9,2.46
Elias,Diaz,C,,2023-05-19,,COL,TEX,4,,R,+1.5,9,3.7,4600,3.0,5.6,12.0,6.9,1.50
Leody,Taveras,OF,,2023-05-19,,TEX,COL,9,,S,-1.5,9,5.3,2300,3.0,7.8,13.0,6.9,3.00
Eloy,Jimenez,OF,,2023-05-19,,CWS,KC,,,R,-1.5,9.5,4.9,3200,5.0,14.6,26.0,6.9,2.16
Gio,Urshela,1B,,2023-05-19,,LAA,MIN,7,,R,+1.5,8,3.9,2800,2.0,7.2,14.0,6.9,2.46
Yoan,Moncada,3B,,2023-05-19,,CWS,KC,4,,S,-1.5,9.5,4.9,4500,2.0,9.2,16.0,6.9,1.53
Orlando,Arcia,SS,,2023-05-19,,ATL,SEA,9,,R,-1.5,9,4.9,3500,3.0,12.6,29.0,6.8,1.94
Will,Brennan,OF,,2023-05-19,,CLE,NYM,7,,L,+1.5,9,4.1,2200,0.0,2.8,6.0,6.8,3.09
Eric,Haase,C,,2023-05-19,,DET,WAS,,,R,-1.5,9,4.6,3100,0.0,0.6,3.0,6.8,2.19
Alec,Bohm,1B,,2023-05-19,,PHI,CHC,7,,R,-1.5,9,4.7,3800,0.0,8.0,23.0,6.8,1.79
Michael,Massey,2B,,2023-05-19,,KC,CWS,8,,L,+1.5,9.5,4.6,2300,0.0,2.0,4.0,6.8,2.96
Jose,Caballero,2B,,2023-05-19,,SEA,ATL,,,R,+1.5,9,4.1,2500,0.0,5.4,11.0,6.8,2.72
Cal,Raleigh,C,,2023-05-19,,SEA,ATL,6,,S,+1.5,9,4.1,4900,2.0,12.4,37.0,6.8,1.39
Matt,Carpenter,1B,,2023-05-19,,SD,BOS,,,L,-1.5,8,4.3,2500,0.0,4.8,13.0,6.8,2.72
Robbie,Grossman,OF,,2023-05-19,,TEX,COL,7,,S,-1.5,9,5.3,2400,0.0,9.6,28.0,6.8,2.83
Peyton,Burdick,OF,,2023-05-19,,MIA,SF,7,,R,+1.5,7.5,3.6,2000,0.0,4.4,12.0,6.8,3.40
Gabriel,Arias,3B,,2023-05-19,,CLE,NYM,6,,R,+1.5,9,4.1,2100,0.0,4.6,21.0,6.7,3.19
Jorge,Soler,OF,,2023-05-19,,MIA,SF,4,,R,+1.5,7.5,3.6,5300,0.0,10.0,20.0,6.7,1.26
Jake,Rogers,C,,2023-05-19,,DET,WAS,9,,R,-1.5,9,4.6,2200,0.0,5.4,16.0,6.7,3.05
Eddie,Rosario,OF,,2023-05-19,,ATL,SEA,5,,L,-1.5,9,4.9,2600,0.0,7.2,16.0,6.7,2.58
Teoscar,Hernandez,OF,,2023-05-19,,SEA,ATL,7,,R,+1.5,9,4.1,3700,0.0,11.8,22.0,6.7,1.81
