first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jonathan,Villar,SS,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,4200,0,6.6,12,6.5,1.55,,
Brian,Anderson,3B,,8/27/21,Turbo,MIA,CIN,5,,1.5,8,3.7,3500,0,9.8,15,6.5,1.86,,
Jorge,Alfaro,C,,8/27/21,Turbo,MIA,CIN,4,,1.5,8,3.7,3000,0,7.4,14,6.4,2.13,,
Edmundo,Sosa,2B,,8/27/21,Turbo,STL,PIT,7,,-1.5,8.5,4.8,2300,4,8.2,16,6.4,2.78,,
Daz,Cameron,OF,,8/27/21,Turbo,DET,TOR,6,,1.5,9.5,4.2,2400,0,4.8,12,6.4,2.67,,
Josh,Bell,1B,,8/27/21,Turbo,WAS,NYM,4,,1.5,9,3.8,4000,0,6.6,9,6.4,1.6,,
Josh,VanMeter,2B,,8/27/21,Turbo,ARI,PHI,2,,1.5,8.5,3.3,2100,0,3.6,9,6.3,3,,
Kyle,Farmer,SS,,8/27/21,Turbo,CIN,MIA,6,,-1.5,8,4.3,3000,0,4,7,6.2,2.07,,
Joc,Pederson,OF,,8/27/21,Turbo,ATL,SF,8,,-1.5,8.5,4.5,3600,0,2,10,6.1,1.69,,
Travis,d'Arnaud,C,,8/27/21,Turbo,ATL,SF,6,,-1.5,8.5,4.5,3800,0,9.8,24,6.1,1.61,,
Bryan,De La Cruz,OF,,8/27/21,Turbo,MIA,CIN,7,,1.5,8,3.7,2700,0,9.8,16,6,2.22,,
Bradley,Zimmer,OF,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2000,0,6.2,19,6,3,,
Zack,Short,SS,,8/27/21,Turbo,DET,TOR,8,,1.5,9.5,4.2,3100,0,4.4,10,6,1.94,,
Lane,Thomas,OF,,8/27/21,Turbo,WAS,NYM,6,,1.5,9,3.8,2200,0,9.8,21,6,2.73,,
Carter,Kieboom,3B,,8/27/21,Turbo,WAS,NYM,5,,1.5,9,3.8,2300,0,6.6,15,5.9,2.57,,
Oscar,Mercado,OF,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2000,2,7.6,13,5.9,2.95,,
Jacob,Stallings,C,,8/27/21,Turbo,PIT,STL,5,,1.5,8.5,3.7,3700,2,6.6,13,5.9,1.59,,
Anthony,Alford,OF,,8/27/21,Turbo,PIT,STL,8,,1.5,8.5,3.7,2200,0,3.8,11,5.9,2.68,,
Alcides,Escobar,SS,,8/27/21,Turbo,WAS,NYM,2,,1.5,9,3.8,3800,3,9.6,17,5.8,1.53,,
Austin,Hays,OF,,8/27/21,Turbo,BAL,TB,5,,1.5,10,4,3200,0,8,15,5.8,1.81,,
Josh,Palacios,OF,,8/27/21,Turbo,TOR,DET,7,,-1.5,9.5,5.3,2000,0,0.8,4,5.8,2.9,,
Adam,Duvall,OF,,8/27/21,Turbo,ATL,SF,7,,-1.5,8.5,4.5,4300,0,5.4,15,5.7,1.33,,
Reese,McGuire,C,,8/27/21,Turbo,TOR,DET,9,,-1.5,9.5,5.3,2500,0,4.6,11,5.7,2.28,,
Thairo,Estrada,OF,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,2200,0,1.8,5,5.7,2.59,,
Yu,Chang,1B,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2600,2,9.2,19,5.6,2.15,,
Jahmai,Jones,2B,,8/27/21,Turbo,BAL,TB,8,,1.5,10,4,2000,2,6.4,10,5.5,2.75,,
Riley,Adams,C,,8/27/21,Turbo,WAS,NYM,7,,1.5,9,3.8,2200,0,8,14,5.5,2.5,,
Tucker,Barnhart,C,,8/27/21,Turbo,CIN,MIA,7,,-1.5,8,4.3,2800,0,2.8,7,5.5,1.96,,
Jeff,McNeil,2B,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,3900,0,5,12,5.4,1.38,,
Christian,Walker,1B,,8/27/21,Turbo,ARI,PHI,4,,1.5,8.5,3.3,2500,0,8,16,5.4,2.16,,
Jake,McCarthy,OF,,8/27/21,Turbo,ARI,PHI,7,,1.5,8.5,3.3,2000,,,,5.4,2.7,,
Jesus,Sanchez,OF,,8/27/21,Turbo,MIA,CIN,6,,1.5,8,3.7,2800,2,6.6,14,5.2,1.86,,
Max,Schrock,2B,,8/27/21,Turbo,CIN,MIA,8,,-1.5,8,4.3,2300,0,5.4,25,5.1,2.22,,
Kevin,Newman,SS,,8/27/21,Turbo,PIT,STL,7,,1.5,8.5,3.7,3300,0,4.8,8,5,1.52,,
Pedro,Severino,C,,8/27/21,Turbo,BAL,TB,7,,1.5,10,4,3600,0,6.2,20,4.9,1.36,,
Owen,Miller,1B,,8/27/21,Turbo,CLE,BOS,,,1.5,10,4.2,2100,2,9.4,17,4.9,2.33,,
Alex,Jackson,C,,8/27/21,Turbo,MIA,CIN,8,,1.5,8,3.7,2800,0,2.4,5,4.9,1.75,,
Kelvin,Gutierrez,3B,,8/27/21,Turbo,BAL,TB,9,,1.5,10,4,2000,0,5.2,9,4.8,2.4,,
Luis,Garcia,2B,,8/27/21,Turbo,WAS,NYM,8,,1.5,9,3.8,3000,0,4.4,10,4.6,1.53,,
