first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alex,Bregman,3B,O,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,5400,0.0,1.6,3.0,0.0,0.00
Jacob,Robson,OF,O,2021-04-18,Afternoon,DET,OAK,,,+1.5,8.5,4,2200,,,,0.0,0.00
Robel,Garcia,3B,O,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,2100,0.0,1.4,3.0,0.0,0.00
Martin,Maldonado,C,O,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,3000,0.0,1.2,3.0,0.0,0.00
Andrelton,Simmons,SS,O,2021-04-18,Afternoon,MIN,LAA,,,+1.5,9.5,4.5,4200,0.0,6.8,21.0,0.0,0.00
Stephen,Piscotty,OF,O,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2700,2.0,8.2,12.0,0.0,0.00
Buddy,Reed,OF,O,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2000,,,,0.0,0.00
Jose,Altuve,2B,O,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,5200,2.0,8.0,20.0,0.0,0.00
Cody,Thomas,OF,O,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2000,,,,0.0,0.00
Frank,Schwindel,1B,O,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2000,,,,0.0,0.00
Pete,Kozma,2B,O,2021-04-18,Afternoon,OAK,DET,,,-1.5,8.5,4.5,2000,,,,0.0,0.00
Yordan,Alvarez,OF,O,2021-04-18,Afternoon,HOU,SEA,,,-1.5,9,4.7,4900,0.0,5.6,17.0,0.0,0.00
