first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Trea,Turner,SS,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,5100,0.0,7.0,14.0,7.5,1.47
Jared,Walsh,1B,,2021-04-24,Early,LAA,HOU,4,,+1.5,9,4.2,4500,3.0,5.6,12.0,7.5,1.67
Paul,DeJong,SS,,2021-04-24,Early,STL,CIN,5,,-1.5,8.5,4.3,4200,0.0,7.0,24.0,7.4,1.76
Carlos,Correa,SS,,2021-04-24,Early,HOU,LAA,1,,-1.5,9,4.8,5200,2.0,7.8,16.0,7.4,1.42
Jeimer,Candelario,3B,,2021-04-24,Early,DET,KC,3,,+1.5,7.5,3.7,4600,0.0,4.6,13.0,7.4,1.61
Dylan,Carlson,OF,,2021-04-24,Early,STL,CIN,2,,-1.5,8.5,4.3,3100,0.0,8.6,19.0,7.4,2.39
Hanser,Alberto,3B,,2021-04-24,Early,KC,DET,6,,-1.5,7.5,3.9,3300,0.0,6.0,15.0,7.3,2.21
Jeff,McNeil,2B,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,4500,0.0,4.8,10.0,7.3,1.62
Jackie,Bradley Jr.,OF,,2021-04-24,Early,MIL,CHC,7,,+1.5,7.5,3.7,3100,0.0,4.8,13.0,7.3,2.35
Billy,McKinney,OF,,2021-04-24,Early,MIL,CHC,5,,+1.5,7.5,3.7,2200,0.0,4.2,7.0,7.2,3.27
Alex,Verdugo,OF,,2021-04-24,Early,BOS,SEA,2,,-1.5,9,5.2,4400,0.0,11.4,24.0,7.2,1.64
Albert,Pujols,1B,,2021-04-24,Early,LAA,HOU,5,,+1.5,9,4.2,3400,0.0,6.6,12.0,7.2,2.12
Franchy,Cordero,OF,,2021-04-24,Early,BOS,SEA,8,,-1.5,9,5.2,2800,0.0,2.8,12.0,7.1,2.54
Adam,Frazier,2B,,2021-04-24,Early,PIT,MIN,1,,+1.5,8,3.3,4000,0.0,7.2,23.0,7.1,1.78
Evan,White,1B,,2021-04-24,Early,SEA,BOS,5,,+1.5,9,3.8,3100,0.0,2.8,5.0,7.0,2.26
