first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Cody,Bellinger,OF,,2021-08-22,Afternoon,LAD,NYM,8,,-1.5,8.5,4.8,4000,0.0,2.0,10.0,4.0,1.00
James,McCann,C,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2900,0.0,3.2,6.0,3.9,1.34
Will,Smith,C,,2021-08-22,Afternoon,LAD,NYM,5,,-1.5,8.5,4.8,5100,,,,3.7,0.73
Tony,Kemp,2B,,2021-08-22,Afternoon,OAK,SF,9,,+1.5,8,4.1,2800,0.0,2.8,8.0,3.7,1.32
Ronald,Torreyes,3B,,2021-08-22,Afternoon,PHI,SD,7,,+1.5,9,4,2800,0.0,3.4,15.0,3.5,1.25
Jose,Peraza,2B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,3200,0.0,1.6,6.0,3.3,1.03
Kevin,Pillar,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2400,0.0,3.2,11.0,3.1,1.29
Luis,Guillorme,2B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2400,0.0,2.6,9.0,2.9,1.21
Patrick,Mazeika,C,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,4.0,7.0,2.9,1.45
Dominic,Smith,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,3000,0.0,1.0,3.0,2.9,0.97
Victor,Caratini,C,,2021-08-22,Afternoon,SD,PHI,8,,-1.5,9,5,2800,0.0,1.0,5.0,2.8,1.00
Cameron,Maybin,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2200,0.0,3.0,11.0,2.7,1.23
Cesar,Puello,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,3.0,8.0,2.4,1.20
Tomas,Nido,C,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,3.0,8.0,2.4,1.20
Travis,Jankowski,OF,,2021-08-22,Afternoon,PHI,SD,8,,+1.5,9,4,2300,0.0,1.2,6.0,2.3,1.00
Chance,Sisco,C,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,3.0,10.0,2.2,1.10
