Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Jarlin Garcia (18857445),Jarlin Garcia,18857445,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,4.06
RP,Matt Blackham (18857446),Matt Blackham,18857446,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Yusmeiro Petit (18857448),Yusmeiro Petit,18857448,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,2.44
RP,Rico Garcia (18857455),Rico Garcia,18857455,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Jake Diekman (18857459),Jake Diekman,18857459,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,3.42
SP,Kervin Castro (18857461),Kervin Castro,18857461,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Gerson Bautista (18857463),Gerson Bautista,18857463,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Miguel Romero (18857464),Miguel Romero,18857464,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Lou Trivino (18857469),Lou Trivino,18857469,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,3.26
RP,A.J. Puk (18857472),A.J. Puk,18857472,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,5.78
RP,Jay Jackson (18857477),Jay Jackson,18857477,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,4.09
RP,Dominic Leone (18857487),Dominic Leone,18857487,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,3.26
RP,Montana DuRapau (18857496),Montana DuRapau,18857496,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Trevor Hildenberger (18857499),Trevor Hildenberger,18857499,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0.52
RP,Trevor Rosenthal (18857500),Trevor Rosenthal,18857500,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Sam Delaplane (18857502),Sam Delaplane,18857502,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
SP,Dedniel Nunez (18857505),Dedniel Nunez,18857505,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Burch Smith (18857506),Burch Smith,18857506,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,2.64
RP,Trevor Gott (18857508),Trevor Gott,18857508,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
SP,Tyler Beede (18857512),Tyler Beede,18857512,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,-1.55
RP,Philip Pfeifer (18857513),Philip Pfeifer,18857513,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Wandisson Charles (18857514),Wandisson Charles,18857514,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0
RP,Sergio Romo (18857516),Sergio Romo,18857516,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,2.85
RP,Jake McGee (18857520),Jake McGee,18857520,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,3.25
RP,Reymin Guduan (18857526),Reymin Guduan,18857526,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,0.71
RP,John Brebbia (18857527),John Brebbia,18857527,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.05
RP,Tony Watson (18857531),Tony Watson,18857531,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.56
RP,Silvino Bracho (18857535),Silvino Bracho,18857535,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Andrew Chafin (18857539),Andrew Chafin,18857539,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,3.02
RP,Tyler Rogers (18857540),Tyler Rogers,18857540,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.73
RP,Adam Kolarek (18857541),Adam Kolarek,18857541,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,-0.03
RP,Daniel Alvarez (18857542),Daniel Alvarez,18857542,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,0
RP,Sam Moll (18857545),Sam Moll,18857545,P,4000,SF@OAK 08/22/2021 04:07PM ET,OAK,2.53
RP,Reyes Moronta (18857546),Reyes Moronta,18857546,P,4000,SF@OAK 08/22/2021 04:07PM ET,SF,2.6
OF,AJ Pollock (18857154),AJ Pollock,18857154,OF,3900,NYM@LAD 08/22/2021 04:10PM ET,LAD,7.58
2B/SS,Nick Maton (18857156),Nick Maton,18857156,2B/SS,3900,PHI@SD 08/22/2021 03:40PM ET,PHI,4.31
C,Buster Posey (18857155),Buster Posey,18857155,C,3900,SF@OAK 08/22/2021 04:07PM ET,SF,8.26
1B,Brandon Belt (18857158),Brandon Belt,18857158,1B,3900,SF@OAK 08/22/2021 04:07PM ET,SF,7.81
OF/SS,Mauricio Dubon (18857159),Mauricio Dubon,18857159,SS/OF,3800,SF@OAK 08/22/2021 04:07PM ET,SF,4
3B,Evan Longoria (18857161),Evan Longoria,18857161,3B,3800,SF@OAK 08/22/2021 04:07PM ET,SF,7.73
OF,Andrew McCutchen (18857162),Andrew McCutchen,18857162,OF,3700,PHI@SD 08/22/2021 03:40PM ET,PHI,7.56
1B/3B,Alec Bohm (18857163),Alec Bohm,18857163,1B/3B,3700,PHI@SD 08/22/2021 03:40PM ET,PHI,5.60
SS,Didi Gregorius (18857165),Didi Gregorius,18857165,SS,3700,PHI@SD 08/22/2021 03:40PM ET,PHI,6.34
SS,Jonathan Villar (18857167),Jonathan Villar,18857167,SS,3600,NYM@LAD 08/22/2021 04:10PM ET,NYM,6.13
2B,Jeff McNeil (18857168),Jeff McNeil,18857168,2B,3600,NYM@LAD 08/22/2021 04:10PM ET,NYM,5.69
