P,P,C,1B,2B,3B,SS,OF,OF,OF
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Gio Urshela (18951227),Andrew Velazquez (18951522),Aaron Judge (18951094),George Springer (18951119),Giancarlo Stanton (18951135)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Wil Myers (18951217),Adolis Garcia (18951218)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Andrew McCutchen (18951184),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Yonny Hernandez (18951323),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Manuel Margot (18951339),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Andrew Velazquez (18951522),Fernando Tatis Jr. (18951082),George Springer (18951119),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Josh VanMeter (18951421),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),Andrew McCutchen (18951184)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),Andrew McCutchen (18951184),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Christian Walker (18951352),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Andrew McCutchen (18951184),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Joey Gallo (18951139),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Brad Miller (18951202),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Wil Myers (18951217),Adolis Garcia (18951218)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),Corey Dickerson (18951267),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Christian Walker (18951352),Luis Garcia (18951273),Yonny Hernandez (18951323),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Bo Bichette (18951096),George Springer (18951119),Wil Myers (18951217),Corey Dickerson (18951267)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),Andrew McCutchen (18951184),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Yonny Hernandez (18951323),Jake Cronenworth (18951150),Bryce Harper (18951081),George Springer (18951119),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Daulton Varsho (18951187),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),AJ Pollock (18951198),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Gio Urshela (18951227),Jake Cronenworth (18951150),Fernando Tatis Jr. (18951082),George Springer (18951119),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Gary Sanchez (18951149),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Wil Myers (18951217),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Eric Hosmer (18951303),Luis Garcia (18951273),Manny Machado (18951124),Jake Cronenworth (18951150),George Springer (18951119),Teoscar Hernandez (18951125),Corey Dickerson (18951267)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Eric Hosmer (18951303),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),AJ Pollock (18951198),Manuel Margot (18951339),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),Chris Taylor (18951161),AJ Pollock (18951198),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),Chris Taylor (18951161),Andrew McCutchen (18951184),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),AJ Pollock (18951198),Sam Hilliard (18951334),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Max Muncy (18951121),Luis Garcia (18951273),Justin Turner (18951126),Andrew Velazquez (18951522),George Springer (18951119),AJ Pollock (18951198),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Max Muncy (18951121),Luis Garcia (18951273),Justin Turner (18951126),Andrew Velazquez (18951522),George Springer (18951119),AJ Pollock (18951198),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Max Muncy (18951121),Luis Garcia (18951273),Justin Turner (18951126),Corey Seager (18951117),George Springer (18951119),AJ Pollock (18951198),Manuel Margot (18951339)
Robbie Ray (18951065),German Marquez (18951069),Will Smith (18951132),Eric Hosmer (18951303),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),George Springer (18951119),Chris Taylor (18951161),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Austin Nola (18951252),Max Muncy (18951121),Luis Garcia (18951273),Justin Turner (18951126),Andrew Velazquez (18951522),George Springer (18951119),Chris Taylor (18951161),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Max Muncy (18951121),Luis Garcia (18951273),Yonny Hernandez (18951323),Jake Cronenworth (18951150),AJ Pollock (18951198),Manuel Margot (18951339),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Eric Hosmer (18951303),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),Chris Taylor (18951161),AJ Pollock (18951198),Wil Myers (18951217)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Bo Bichette (18951096),Chris Taylor (18951161),AJ Pollock (18951198),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Eric Hosmer (18951303),Luis Garcia (18951273),Yonny Hernandez (18951323),Corey Seager (18951117),George Springer (18951119),Chris Taylor (18951161),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Alejandro Kirk (18951181),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Corey Seager (18951117),AJ Pollock (18951198),Manuel Margot (18951339),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Bo Bichette (18951096),Chris Taylor (18951161),AJ Pollock (18951198),Manuel Margot (18951339)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Christian Walker (18951352),Luis Garcia (18951273),Justin Turner (18951126),Corey Seager (18951117),George Springer (18951119),AJ Pollock (18951198),Kevin Kiermaier (18951420)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Brad Miller (18951202),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),Chris Taylor (18951161),AJ Pollock (18951198),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Yohel Pozo (18951515),Max Muncy (18951121),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),AJ Pollock (18951198),Manuel Margot (18951339),Mookie Betts (18951100)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Eric Hosmer (18951303),Luis Garcia (18951273),Justin Turner (18951126),Andrew Velazquez (18951522),George Springer (18951119),Chris Taylor (18951161),AJ Pollock (18951198)
Zack Wheeler (18951064),Robbie Ray (18951065),Will Smith (18951132),Brad Miller (18951202),Luis Garcia (18951273),Justin Turner (18951126),Jake Cronenworth (18951150),Chris Taylor (18951161),AJ Pollock (18951198),Manuel Margot (18951339)
