P,P,C,1B,2B,3B,SS,OF,OF,OF
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Edmundo Sosa (19016576),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Jace Peterson (19016533),J.P. Crawford (19016359),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Kyle Farmer (19016412),Eloy Jimenez (19016303),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Jack Mayfield (19016519),J.P. Crawford (19016359),Nick Castellanos (19016293),Eloy Jimenez (19016303),Luis Robert (19016312)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Max Muncy (19016317),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Eloy Jimenez (19016303),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Yasmani Grandal (19016285),Freddie Freeman (19016276),Romy Gonzalez (19016698),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Jorge Soler (19016360),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Leody Taveras (19016589)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Austin Slater (19016510)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Jorge Soler (19016360),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Jace Peterson (19016533)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Jonathan India (19016321),Jack Mayfield (19016519),Kyle Farmer (19016412),Nick Castellanos (19016293),Luis Robert (19016312),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Jarred Kelenic (19016582)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Mitch Haniger (19016320),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Kyle Farmer (19016412),Nick Castellanos (19016293),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Jose Suarez (19016265),Carson Kelly (19016304),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Kyle Farmer (19016412),Nick Castellanos (19016293),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Kyle Farmer (19016412),Nick Castellanos (19016293),Jorge Soler (19016360),Leody Taveras (19016589)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Max Muncy (19016317),Romy Gonzalez (19016698),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Christian Walker (19016441),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Leody Taveras (19016589)
Tyler Mahle (19016254),Jose Suarez (19016265),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Luis Robert (19016312),Jorge Soler (19016360),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),Ozzie Albies (19016302),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),Trea Turner (19016294),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),Jonathan India (19016321),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),David Fletcher (19016415),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Shohei Ohtani (19016270),Romy Gonzalez (19016698),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Freddie Freeman (19016276),David Fletcher (19016415),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Jorge Soler (19016360),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),Ozzie Albies (19016302),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Mitch Haniger (19016320),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Shohei Ohtani (19016270),Jonathan India (19016321),Eugenio Suarez (19016348),Jack Mayfield (19016519),Luis Robert (19016312),Jorge Soler (19016360),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Freddie Freeman (19016276),Trea Turner (19016294),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Mitch Haniger (19016320),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Max Muncy (19016317),David Fletcher (19016415),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Shohei Ohtani (19016270),Ozzie Albies (19016302),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Shohei Ohtani (19016270),Ozzie Albies (19016302),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Justin Upton (19016509),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Andrew Vaughn (19016457),Ozzie Albies (19016302),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Justin Upton (19016509),Shohei Ohtani (19016270)
Tyler Mahle (19016254),Joe Musgrove (19016258),Kurt Suzuki (19016502),Shohei Ohtani (19016270),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Jorge Soler (19016360),Leody Taveras (19016589),Mookie Betts (19016310)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Luis Robert (19016312),Mookie Betts (19016310),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Aristides Aquino (19016429),Mookie Betts (19016310),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Justin Upton (19016509),Mookie Betts (19016310)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),AJ Pollock (19016389),Leody Taveras (19016589)
Tyler Mahle (19016254),Jose Suarez (19016265),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Mookie Betts (19016310),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Jose Suarez (19016265),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Luis Robert (19016312),Mookie Betts (19016310)
Tyler Mahle (19016254),Jose Suarez (19016265),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Nick Castellanos (19016293),Aristides Aquino (19016429),Mookie Betts (19016310)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Eugenio Suarez (19016348),Jack Mayfield (19016519),Luis Robert (19016312),AJ Pollock (19016389),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Leody Taveras (19016589),Mookie Betts (19016310)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Jorge Soler (19016360),AJ Pollock (19016389)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Phil Gosselin (19016461),Jack Mayfield (19016519),Nick Castellanos (19016293),Leody Taveras (19016589),Mookie Betts (19016310)
Tyler Mahle (19016254),Joe Musgrove (19016258),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jace Peterson (19016533),Jack Mayfield (19016519),Nick Castellanos (19016293),Austin Slater (19016510),Mookie Betts (19016310)
Tyler Mahle (19016254),Jose Suarez (19016265),Will Smith (19016354),Max Muncy (19016317),Trea Turner (19016294),Jack Mayfield (19016519),Corey Seager (19016316),Nick Castellanos (19016293),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Ty France (19016338),Romy Gonzalez (19016698),Eugenio Suarez (19016348),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Jonathan India (19016321),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Ty France (19016338),Jonathan India (19016321),Eugenio Suarez (19016348),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Jarred Kelenic (19016582)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Ty France (19016338),Jonathan India (19016321),Jack Mayfield (19016519),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Ozzie Albies (19016302),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Garrett Hampson (19016459),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Ozzie Albies (19016302),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Jarred Kelenic (19016582)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Trea Turner (19016294),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Trea Turner (19016294),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Jarred Kelenic (19016582)
Tyler Mahle (19016254),Jose Suarez (19016265),Cal Raleigh (19016565),Ty France (19016338),Jonathan India (19016321),Eugenio Suarez (19016348),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Ty France (19016338),Jonathan India (19016321),Eugenio Suarez (19016348),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Leody Taveras (19016589)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Andrew Vaughn (19016457),Romy Gonzalez (19016698),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Cal Raleigh (19016565),Freddie Freeman (19016276),Jonathan India (19016321),Jack Mayfield (19016519),J.P. Crawford (19016359),Nick Castellanos (19016293),Mitch Haniger (19016320),Jarred Kelenic (19016582)
Tyler Mahle (19016254),Jose Suarez (19016265),Cal Raleigh (19016565),Andrew Vaughn (19016457),Ozzie Albies (19016302),Kyle Seager (19016313),J.P. Crawford (19016359),Nick Castellanos (19016293),Luis Robert (19016312),Mitch Haniger (19016320)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Rowdy Tellez (19016542),Jonathan India (19016321),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Trea Turner (19016294),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Lorenzo Cain (19016541)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Rowdy Tellez (19016542),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Jonathan India (19016321),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Jonathan India (19016321),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Rowdy Tellez (19016542),Trea Turner (19016294),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Tyler Stephenson (19016309),Andrew Vaughn (19016457),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Lorenzo Cain (19016541)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Jonathan India (19016321),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Lorenzo Cain (19016541)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Trea Turner (19016294),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Lorenzo Cain (19016541)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Andrew Vaughn (19016457),Trea Turner (19016294),Jace Peterson (19016533),Willy Adames (19016342),Luis Robert (19016312),Christian Yelich (19016326),Lorenzo Cain (19016541)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Rowdy Tellez (19016542),Ozzie Albies (19016302),Jace Peterson (19016533),Willy Adames (19016342),Nick Castellanos (19016293),Christian Yelich (19016326),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Ozzie Albies (19016302),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Trea Turner (19016294),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Drew Ellis (19016659),Eugenio Suarez (19016348),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Jonathan India (19016321),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Aristides Aquino (19016429)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Jonathan India (19016321),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Andrew Vaughn (19016457)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Ozzie Albies (19016302),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Trea Turner (19016294),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Justin Upton (19016509)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Jonathan India (19016321),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Christian Yelich (19016326),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Jonathan India (19016321),Drew Ellis (19016659),Nick Ahmed (19016422),Luis Robert (19016312),Mitch Haniger (19016320),Jorge Soler (19016360)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Ozzie Albies (19016302),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Leody Taveras (19016589)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Ozzie Albies (19016302),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Garrett Hampson (19016459)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Trea Turner (19016294),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Leody Taveras (19016589)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Trea Turner (19016294),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Luis Robert (19016312),Garrett Hampson (19016459)
Tyler Mahle (19016254),Joe Musgrove (19016258),Carson Kelly (19016304),Christian Walker (19016441),Ozzie Albies (19016302),Drew Ellis (19016659),Nick Ahmed (19016422),Nick Castellanos (19016293),Mitch Haniger (19016320),Aristides Aquino (19016429)
