P,P,C,1B,2B,3B,SS,OF,OF,OF
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Yu Chang (18991615),Owen Miller (18991675),Jose Ramirez (18991474),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Yu Chang (18991615),Whit Merrifield (18991493),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Yu Chang (18991615),Owen Miller (18991675),Austin Riley (18991480),Amed Rosario (18991515),Franmil Reyes (18991489),Jorge Soler (18991494),Joc Pederson (18991530)
Sandy Alcantara (18991864),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Joc Pederson (18991530),Harold Ramirez (18991682),Ehire Adrianza (18991709)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Yu Chang (18991615),Amed Rosario (18991515),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Carlos Carrasco (18991468),Mitch Keller (18991471),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Franmil Reyes (18991489),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Jorge Soler (18991494),Myles Straw (18991584),Ehire Adrianza (18991709)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Cole Tucker (18991690),Franmil Reyes (18991489),Jorge Soler (18991494),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Brendan Rodgers (18991500),Joc Pederson (18991530),Myles Straw (18991584),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Austin Riley (18991480),Amed Rosario (18991515),Joc Pederson (18991530),Oscar Mercado (18991677),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Austin Riley (18991480),Amed Rosario (18991515),Franmil Reyes (18991489),Ben Gamel (18991678),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Owen Miller (18991675),Jose Ramirez (18991474),Amed Rosario (18991515),Adam Duvall (18991504),Sam Hilliard (18991647),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Carlos Santana (18991610),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Andrew Benintendi (18991564)
Carlos Carrasco (18991468),Mike Minor (18991470),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Carlos Santana (18991610),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Adam Duvall (18991504),Jorge Soler (18991494),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Hunter Dozier (18991641),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Ehire Adrianza (18991709)
Carlos Carrasco (18991468),Mitch Keller (18991471),Salvador Perez (18991475),Freddie Freeman (18991476),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Ehire Adrianza (18991709),Nicky Lopez (18991552),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Hunter Dozier (18991641),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Edward Olivares (18991592)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Ehire Adrianza (18991709),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Hunter Dozier (18991641),Whit Merrifield (18991493),Ehire Adrianza (18991709),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Andrew Benintendi (18991564)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Carlos Santana (18991610),Whit Merrifield (18991493),Jose Ramirez (18991474),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Hunter Dozier (18991641)
Carlos Carrasco (18991468),Mike Minor (18991470),Salvador Perez (18991475),Freddie Freeman (18991476),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Joc Pederson (18991530),Andrew Benintendi (18991564),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Patrick Wisdom (18991495),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Austin Riley (18991480),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Whit Merrifield (18991493),Emmanuel Rivera (18991555),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Andrew Benintendi (18991564),Ben Gamel (18991678),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Freddie Freeman (18991476),Whit Merrifield (18991493),Ehire Adrianza (18991709),Nicky Lopez (18991552),Jorge Soler (18991494),Andrew Benintendi (18991564),Ben Gamel (18991678)
Carlos Carrasco (18991468),Mike Minor (18991470),Salvador Perez (18991475),Freddie Freeman (18991476),Whit Merrifield (18991493),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Ben Gamel (18991678),Hunter Dozier (18991641)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Hunter Dozier (18991641),Whit Merrifield (18991493),Jose Ramirez (18991474),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Andrew Benintendi (18991564)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Carlos Santana (18991610),Whit Merrifield (18991493),Wilmer Difo (18991686),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Edward Olivares (18991592)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Hunter Dozier (18991641),Whit Merrifield (18991493),Austin Riley (18991480),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Andrew Benintendi (18991564)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Bryan Reynolds (18991531)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Dansby Swanson (18991481),Jorge Soler (18991494),Ben Gamel (18991678),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Patrick Wisdom (18991495),Cole Tucker (18991690),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Freddie Freeman (18991476),Wilmer Difo (18991686),Ehire Adrianza (18991709),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Jeff McNeil (18991541),Austin Riley (18991480),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Patrick Mazeika (18991623),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Frank Schwindel (18991556),Wilmer Difo (18991686),Austin Riley (18991480),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Cole Tucker (18991690),Adam Duvall (18991504),Jorge Soler (18991494),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Dansby Swanson (18991481),Joc Pederson (18991530),Ben Gamel (18991678),Cole Tucker (18991690)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Jeff McNeil (18991541),Wilmer Difo (18991686),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Matt Duffy (18991602),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Salvador Perez (18991475),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Matt Duffy (18991602),Austin Riley (18991480),Taylor Walls (18991630),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Whit Merrifield (18991493),Ehire Adrianza (18991709),Brendan Rodgers (18991500),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Whit Merrifield (18991493),Wilmer Difo (18991686),Cole Tucker (18991690),Adam Duvall (18991504),Jorge Soler (18991494),Joc Pederson (18991530)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Matt Duffy (18991602),Austin Riley (18991480),Nicky Lopez (18991552),Jorge Soler (18991494),Joc Pederson (18991530),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Austin Riley (18991480),Dansby Swanson (18991481),Joc Pederson (18991530),Sam Hilliard (18991647),Harold Ramirez (18991682)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Wilmer Difo (18991686),Jose Ramirez (18991474),Dansby Swanson (18991481),Joc Pederson (18991530),Ben Gamel (18991678),Ehire Adrianza (18991709)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Whit Merrifield (18991493),Patrick Wisdom (18991495),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Ben Gamel (18991678)
Carlos Carrasco (18991468),Mike Minor (18991470),Travis d'Arnaud (18991520),C.J. Cron (18991484),Brendan Rodgers (18991500),Ryan McMahon (18991502),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mitch Keller (18991471),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ryan McMahon (18991502),Dansby Swanson (18991481),Connor Joe (18991511),Jorge Soler (18991494),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),C.J. Cron (18991484),Wilmer Difo (18991686),Ryan McMahon (18991502),Brendan Rodgers (18991500),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mitch Keller (18991471),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ryan McMahon (18991502),Trevor Story (18991482),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mitch Keller (18991471),Travis d'Arnaud (18991520),C.J. Cron (18991484),Brendan Rodgers (18991500),Austin Riley (18991480),Trevor Story (18991482),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),C.J. Cron (18991484),Brendan Rodgers (18991500),Ryan McMahon (18991502),Cole Tucker (18991690),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Sam Hilliard (18991647),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Hunter Dozier (18991641),Brendan Rodgers (18991500),Ryan McMahon (18991502),Trevor Story (18991482),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Jacob Stallings (18991562),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Jorge Soler (18991494),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mitch Keller (18991471),Elias Diaz (18991507),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ryan McMahon (18991502),Dansby Swanson (18991481),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Robinson Chirinos (18991558),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Joc Pederson (18991530),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mike Minor (18991470),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Austin Riley (18991480),Trevor Story (18991482),Connor Joe (18991511),Sam Hilliard (18991647),Ehire Adrianza (18991709)
Sandy Alcantara (18991864),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Jorge Soler (18991494),Sam Hilliard (18991647)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ryan McMahon (18991502),Nicky Lopez (18991552),Connor Joe (18991511),Sam Hilliard (18991647),Ben Gamel (18991678)
Shane McClanahan (18991464),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),C.J. Cron (18991484),Whit Merrifield (18991493),Ehire Adrianza (18991709),Brendan Rodgers (18991500),Connor Joe (18991511),Jorge Soler (18991494),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mike Minor (18991470),Travis d'Arnaud (18991520),C.J. Cron (18991484),Brendan Rodgers (18991500),Patrick Wisdom (18991495),Trevor Story (18991482),Jorge Soler (18991494),Joc Pederson (18991530),Sam Hilliard (18991647)
Sandy Alcantara (18991864),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ryan McMahon (18991502),Trevor Story (18991482),Jorge Soler (18991494),Sam Hilliard (18991647),Ben Gamel (18991678)
Eduardo Rodriguez (18991466),Carlos Carrasco (18991468),Travis d'Arnaud (18991520),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Joc Pederson (18991530),Sam Hilliard (18991647)
Carlos Carrasco (18991468),Mike Minor (18991470),Elias Diaz (18991507),Freddie Freeman (18991476),Brendan Rodgers (18991500),Austin Riley (18991480),Trevor Story (18991482),Jorge Soler (18991494),Sam Hilliard (18991647),Ben Gamel (18991678)
Carlos Carrasco (18991468),Mike Minor (18991470),Elias Diaz (18991507),Freddie Freeman (18991476),Brendan Rodgers (18991500),Ehire Adrianza (18991709),Trevor Story (18991482),Connor Joe (18991511),Jorge Soler (18991494),Joc Pederson (18991530)
